10008;CEQFFR21XXX;GE CAPITAL EQUIPEMENT FINANCE
10011;PSSTFRPPCNE;CAISSE NATIONALE D EPARGNE
10050;SORFRER1XXX;STE REUNIONNAISE DE FINANCEMENT SOREFI
10057;CMCIFRP1SBC;CIC SUD OUEST
10071;TRPUFRP1XXX;TRESOR PUBLIC
10088;SPPCFRP1XXX;STE PROMO ET PART PR COOP ECO - PROPARCO
10096;CMCIFRP1LYB;CIC LYONNAISE DE BANQUE
10107;BREDFRPPXXX;BRED BANQUE POPULAIRE
10128;BCITFRPPXXX;INTESA SANPAOLO SPA
10140;CCMRFR21XXX;CSSE CIT MUNICIPAL DE MARSEILLE
10160;CMMDMCM1XXX;CREDIT MOBILIER DE MONACO
10178;CCBPFRPPCHX;BANQUE CHAIX
10188;BCHAFR21;BANQUE CHALUS
10206;AGRIFRPP802;CREDIT AGRICOLE DU NORD EST
10207;CCBPFRPPMTG;BANQUE POPULAIRE RIVES DE PARIS
10218;RABOFRPPXXX;RABOBANK NEDERLAND RABOBANK INTERNATIONA
10228;LAYDFR2W;BANQUE LAYDERNIER
10268;COURFR2T;BANQUE COURTOIS
10273;OCFIFRP1XXX;OCTO FINANCES SA
10278;CMCIFR2ACEE;CAISSE FEDERALE DE CREDIT MUTUEL
10323;MLIBFRP1XXX;MERRILL LYNCH INTERNATIONAL BANK LIMITED
10343;SBILFRP1XXX;CITIGROUP GLOBAL MARKETS LIMITED
10423;RBOSFRP1XXX;THE ROYAL BANK OF SCOTLAND
10468;RALPFR2G;BANQUE RHONE ALPES
10548;BSAVFR2CXXX;BANQUE DE SAVOIE
10550;DAFRFR21XXX;MERCEDES BENZ FINANCIAL SERVICES FR SA
10558;TARNFR2L;BANQUE TARNEAUD
10638;CCBPFRPP555;CREDIT COMMERCIAL DU SUD OUEST
10773;FMTSFRPPXXX;MARCHE DE TITRES FRANCE (MTS FRANCE)
10800;LOAAFR21XXX;LOCAM LOCATION AUTOMOBILES MATERIEL SAS
10807;CCBPFRPPDJN;BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE
10820;FRUCFRP1XXX;FRUCTIBAIL
10890;FACIFRPP;FACTOBAIL
10900;DIFFFRP1XXX;DIFFUCO
10907;CCBPFRPPBDX;BANQUE POP AQUITAINE CENTRE ATLANTIQUE
10918;CHDUFRPP;CHOLET DUPONT
10930;FRGNFR21XXX;FONDS REGIONAL GARANT NORD PAS DE CALAIS
11006;AGRIFRPP810;CREDIT AGRICOLE DE CHAMPAGNE BOURGOGNE
11018;BSILMCMCXXX;BSI MONACO SAM
11078;BIIOFR21XXX;NORD EUROPE LEASE
11128;NALEFRP1;NATIXIS LEASE
11138;NFACFR21;NATIXIS FACTOR
11140;SSEEFR21XXX;SEDEF (STE EUROP DE DEV DU FINT)
11188;RCINFRPPXXX;RCI BANQUE SA
11190;CGLLFRP1XXX;CSSE GARANTIE DU LOGEMENT LOCATIF SOCIAL
11206;AGRIFRPP812;CREDIT AGRICOLE NORD MIDI PYRENEES
11210;RGFIFRPPXXX;BANQUE DE REALISATIONS DE GEST ET DE FIN
11230;CONOFRP1XXX;LASER COFINOGA
11238;SWILFRPPXXX;SWISSLIFE BANQUE PRIVEE
11306;AGRIFRPP813;CREDIT AGRICOLE D ALPES PROVENCE
11307;CCBPFRPPCAS;CASDEN BANQUE POPULAIRE
11315;CEPAFRPP131;CAISSE D EPARGNE PROVENCE ALPES CORSE
11343;CSEEFRP1XXX;CREDIT SUISSE SECURITIES EUROPE LTD
11353;PLNTFR21XXX;PLANTUREUX ET ASSOCIES
11380;CRRHFRP1XXX;C R H CAISSE DE REFINANCEMENT HABITAT
11408;WAFTWF21XXX;BANQUE DE WALLIS ET FUTUNA
11425;CEPAFRPP142;CAISSE D EPARGNE DE NORMANDIE
11438;HRFRFRP1XXX;BANQUE HOTTINGUER
11449;BDEIFRPP;BANQUE THEMIS
11453;SITRFRP1XXX;SIGMA TERME
11468;PAIMFRP1;BANQUE PATRIMOINE ET IMMOBILIER
11470;COCNFRP1XXX;NATIXIS COFICINE
11478;HPCPFRP1XXX;HPC
11490;INRFFRP1XXX;INTERFIMO
11498;BPPBMCMCXXX;BNP PARIBAS WEALTH MANAGEMENT MONACO
11518;SBOSFRP1XXX;STATE STREET BANQUE SA
11550;CCUOFR21XXX;CSSE CIT MUNICIPAL DE TOULOUSE
11600;CMCIFRP1LEA;CMCIC LEASE
11628;CMCIFR21BCI;BANQUE DU CREDIT MUT ILE DE FRANCE BCMI
11668;BERLMCMCXXX;BANQUE GESTION ED DE ROTHSCHILD MONACO
11678;LLLSFRP1XXX;DE LAGE LANDEN LEASING SAS
11689;CITIFRPPXXX;CITIBANK INTERNATIONAL PLC - CITIGROUP
11706;AGRIFRPP817;CREDIT AGRICOLE CHARENTE MARITIME DEUX SEVRES
11720;HEEFFRP1XXX;HSBC EPARGNE ENTREPRISE (FRANCE)
11729;BNPAGFGXXXX;BNP PARIBAS GUYANE
11749;BDILPMPMXXX;BANQUE DE SAINT PIERRE ET MIQUELON
11768;MSFRFR31XXX;MORGAN STANLEY ET CO INTERNATIONAL PLC
11769;SIPIFRP1XXX;SIIC DE PARIS
11778;CDMAFRPXXXX;CREDIT DU MAROC
11808;CMCIFRPAXXX;BANQUE FEDERATIVE DU CREDIT MUTUEL
11830;INOOFR21XXX;INTER COOP
11833;ICBKFRPP;ICBC PARIS BRANCH
11873;VATEFRP1XXX;OTCEX SA
11899;CMCIFRP1BEC;BANQUE EUROPEENNE DU CREDIT MUTUEL
11907;CCBPFRPPCFD;BANQUE POPULAIRE DU MASSIF CENTRAL
